Department,NRMSE 0-19 Training,NRMSE All Training,NRMSE 0-19 Validation,NRMSE All Validation,MAE (DengRate_all) Val,MAE (DengRate_019) Val
Rondônia,0.20236407946534776,0.20531355403622195,1.1561433423710892,1.1594583956044096,10.794914873578186,8.744855429255253
Acre,0.19112219096853597,0.17376501115253848,0.3598892026507854,0.269081738355227,40.00825286491258,36.09367591100523
Amazonas,0.07589128508882369,0.0845149957071854,0.39348248785357604,0.3358206970626601,10.111812869183483,8.65101149380183
Roraima,0.2488947611011277,0.28732450884776445,0.1896110069078916,0.1919298312543242,16.288428605693962,14.372973800882212
Pará,0.07908975844245957,0.12035237161471772,0.8200311670098515,0.9751785296498874,9.223820930542708,7.494129714300292
Amapá,0.10044523846372151,0.10955437841228222,0.8869006019109535,0.6996373070643598,12.885874016501559,10.896951387520858
Tocantins,0.6308299368970971,0.3111059016390469,0.08650742497136726,0.09448188805855069,13.609858700548846,11.209339430251537
Maranhão,1.0486631958746173,0.9270985145383702,0.34743052204477637,0.5071549860613097,8.402305171524416,6.147657160035713
Piauí,0.09544050834716662,0.1231036464882839,0.12108713652810497,0.13597563570677207,8.622395622594569,7.696413092771611
Ceará,0.07444707534734842,0.07376029942316535,0.48319017497948547,0.4585468030791045,15.03190570581566,12.683024031930861
Rio Grande do Norte,0.3823969070688297,0.20841235964882257,0.15670677289489798,0.1205380217995607,18.570140301696664,19.134523003215733
Paraíba,0.09719254420138626,0.09813205204643108,0.0797284034180528,0.16490714799523423,13.316266128739754,9.404955403244822
Pernambuco,0.14815903393288873,0.15656766498325447,0.12147418769440352,0.2012810781425614,14.897847209600583,10.386121450499981
Alagoas,2.205238790013908,2.23513028858761,0.08532997683513462,0.08691325067629259,11.431419742500914,10.62256819440643
Sergipe,0.19811292751676898,0.2005225289831302,0.190807763688565,0.19013712875586844,14.232344021965906,16.982824419181465
Bahia,0.21902995832943517,0.26158578895454243,0.11153733472342894,0.11323150270056982,9.680371762606823,9.146815598481233
Minas Gerais,0.05997425607417248,0.04009040104892207,0.07237647762280262,0.07113751886917746,29.251255765875893,24.83197871965074
Espírito Santo,0.18486977263322643,0.1859180607019908,0.04033372971275149,0.056711511539435926,15.32448827608968,9.1935359025061
Rio de Janeiro,0.2658218827372662,0.2464288498152793,0.2069411646840994,0.17889172648901988,8.381331036856784,7.287726022119668
São Paulo,0.15847284568163966,0.15859643611368213,0.08785314734407101,0.09532327204218961,15.820920623698308,12.256764253192275
Paraná,0.32659299438721767,0.3190042733198646,0.10715789835207426,0.12357119902272776,11.462563279193523,8.465572569686323
Santa Catarina,0.149860871250362,0.19631189020105996,1.0328852408327391,0.8039900386993732,8.060743826157058,7.370763214079645
Rio Grande do Sul,0.07034535666686437,0.07265986880553832,1.5647971587656722,1.252839120329321,6.406291291964588,6.115615428106923
Mato Grosso do Sul,0.19433042102294515,0.23150935185068922,0.08706526982804433,0.07771541517608936,36.38973656071861,33.85379872362832
Mato Grosso,0.21521877822065386,0.21931686967139627,0.16422001522087867,0.2061114815612125,10.654225803785266,8.280063989582901
Goiás,0.529011827105075,1.3531139805904564,0.10606427617225804,0.08644574612735383,22.387228378318287,23.267860481226354
Distrito Federal,0.3844392622396312,0.31675977497256175,0.06734834945915372,0.07344023397592966,19.808377889820736,15.320302662341755
