Department,NRMSE 0-19 Training,NRMSE All Training,NRMSE 0-19 Validation,NRMSE All Validation,MAE (DengRate_all) Val,MAE (DengRate_019) Val
Rondônia,0.19348845439657678,0.20449193558758133,1.2538365614900504,1.2288972864431635,9.951138267886792,8.16379778667819
Acre,0.19505682151317194,0.19354479538796548,0.4773076525087037,0.37629016589210634,57.036934921776776,44.198503592372354
Amazonas,0.07919715797453954,0.08242892367140017,0.2775222186873303,0.23451159856299816,5.907038018589803,5.0153304043395766
Roraima,0.2087182777121028,0.22979839132132487,0.2078339017446327,0.21137937990126252,15.802264910040682,14.451118510151415
Pará,0.09351289449562983,0.1293009296321217,0.6918545132362691,0.7783549480993519,6.531032195969408,5.599580453950133
Amapá,0.09658997465675097,0.10824383656993056,0.7019022051135183,0.5384963122786678,9.079827524168428,7.858398864861559
Tocantins,0.7743379758348877,0.43665992195337866,0.09557394058532119,0.09434256019136047,12.07030431571389,11.649279357053523
Maranhão,1.0218523669917121,0.8662416993479052,0.3248022313130305,0.4317830723535595,6.283522625210428,5.309791910102422
Piauí,0.10391851837290107,0.11777705471900059,0.17019348901073852,0.15660218449068558,9.296017345197624,9.876712864080432
Ceará,0.077283353639506,0.05590212079363537,0.39710995592929477,0.3572452097175233,12.098553827375673,10.748953122093662
Rio Grande do Norte,0.29076762664483286,0.16594783105096467,0.2311822075965436,0.15586187043814734,21.837094636788038,27.512863630787507
Paraíba,0.08069120291320832,0.08410732676123117,0.13617208302054862,0.10467054538175516,8.911459480828427,13.752706648391852
Pernambuco,0.1742467731445812,0.18139705130542455,0.13964281929392044,0.13410046479352508,10.770303934057821,9.950643153343028
Alagoas,1.6648933064777178,1.6858150300168842,0.130928760807865,0.09759063098669535,11.883605480905151,14.789670412080687
Sergipe,0.23175878151664858,0.17277465402410433,0.2197391207976758,0.20294030915615305,14.227548743729548,19.382664774100895
Bahia,0.1837791933349159,0.18187098911761426,0.15670166069065125,0.13193782711129523,10.888681707338975,11.98920412840954
Minas Gerais,0.041423525664502886,0.037099569258899345,0.0698375596877738,0.06827231267827263,32.14113627623319,22.68399220889039
Espírito Santo,0.24319664800938243,0.24148765175540704,0.05193132413694753,0.050493731572736615,14.917910972363307,10.414633655475711
Rio de Janeiro,0.22418288708561432,0.21835897187874795,0.17627022017744068,0.1713102455451241,8.25578956839543,6.602838455073699
São Paulo,0.1575950052893673,0.1644358200537622,0.10322762717020258,0.12507813633140683,18.583467641844024,11.921339594089986
Paraná,0.30541010613894287,0.28535350454936265,0.1320850932720528,0.15042528693758794,12.468835472547928,9.062841774080061
Santa Catarina,0.19079385030566426,0.23064819198321226,0.8933288551414679,0.7289248216122767,6.942942189699615,5.9990721261979205
Rio Grande do Sul,0.07452145683060102,0.08178178449718083,1.1335622965033312,1.0325455854079097,5.0031300710070195,4.0678149364159735
Mato Grosso do Sul,0.2164885640395958,0.259576455626337,0.08658661283111527,0.08992548934037188,41.27627897225191,31.16504464721022
Mato Grosso,0.17272024026705562,0.17669979349854767,0.17632420907599533,0.166549215444977,8.2323265029235,8.408800954187926
Goiás,0.49120628081752515,1.2099849428120981,0.11309240064657013,0.1257681596904315,34.271309353030965,24.3044509171411
Distrito Federal,0.3086258751329004,0.25459051088746854,0.07106600737193917,0.0747435971659557,21.624377835123283,14.472984786358277
